creationTime,0,1,2,3,4,5,6,7,8,9,10
1522628357778,chicago/traffic-lane/240/thing/traffic-lane/1522628357778,,thing/traffic-lane,,28,-1,chicago/traffic-lane/240,-87.656679779,41.8671338197,41.8669986938,-87.6663821254
1522628358124,chicago/traffic-lane/595/thing/traffic-lane/1522628358124,,thing/traffic-lane,,46,-1,chicago/traffic-lane/595,-87.6310264345,41.9260827378,41.9334256266,-87.6318545747
1522628358235,chicago/traffic-lane/237/thing/traffic-lane/1522628358235,,thing/traffic-lane,,32,-1,chicago/traffic-lane/237,-87.6860370294,41.8667497479,41.8666478725,-87.6959061275
1522628358294,chicago/traffic-lane/363/thing/traffic-lane/1522628358294,,thing/traffic-lane,,25,-1,chicago/traffic-lane/363,-87.6882824308,41.9540117081,41.9613118159,-87.6884991671
1522628353661,chicago/traffic-lane/520/thing/traffic-lane/1522628353661,,thing/traffic-lane,,10,-1,chicago/traffic-lane/520,-87.64651959,41.84732087,41.83783649,-87.66577839
1522628353731,chicago/traffic-lane/898/thing/traffic-lane/1522628353731,,thing/traffic-lane,,29,-1,chicago/traffic-lane/898,-87.62305669,41.83834404,41.84564219,-87.62343743
1522628353749,chicago/traffic-lane/903/thing/traffic-lane/1522628353749,,thing/traffic-lane,,21,-1,chicago/traffic-lane/903,-87.62377822,41.860205,41.86745208,-87.62392868
1522628353768,chicago/traffic-lane/517/thing/traffic-lane/1522628353768,,thing/traffic-lane,,23,-1,chicago/traffic-lane/517,-87.68489325,41.82615333,41.82013776,-87.69448283
1522628354334,chicago/traffic-lane/521/thing/traffic-lane/1522628354334,,thing/traffic-lane,,27,-1,chicago/traffic-lane/521,-87.63481317,41.85300225,41.84732087,-87.64651959
1522628354369,chicago/traffic-lane/1200/thing/traffic-lane/1522628354369,,thing/traffic-lane,,23,-1,chicago/traffic-lane/1200,-87.643022,41.721458,41.728767,-87.643226
1522628354495,chicago/traffic-lane/1269/thing/traffic-lane/1522628354495,,thing/traffic-lane,,20,-1,chicago/traffic-lane/1269,-87.624366,41.882109,41.882014,-87.636891
1522628356862,chicago/traffic-lane/560/thing/traffic-lane/1522628356862,,thing/traffic-lane,,14,-1,chicago/traffic-lane/560,-87.623818,41.852991,41.8529986469,-87.6270517604
1522628357024,chicago/traffic-lane/556/thing/traffic-lane/1522628357024,,thing/traffic-lane,,20,-1,chicago/traffic-lane/556,-87.646459951,41.852819781,41.8526797855,-87.6561800466
1522628357043,chicago/traffic-lane/552/thing/traffic-lane/1522628357043,,thing/traffic-lane,,18,-1,chicago/traffic-lane/552,-87.6856447314,41.8522071469,41.852014774,-87.695431287
1522628357170,chicago/traffic-lane/567/thing/traffic-lane/1522628357170,,thing/traffic-lane,,33,-1,chicago/traffic-lane/567,-87.7412259766,41.7843170707,41.793035195,-87.7417947979
1522628357188,chicago/traffic-lane/244/thing/traffic-lane/1522628357188,,thing/traffic-lane,,24,-1,chicago/traffic-lane/244,-87.6189600374,41.8676400592,41.86751119,-87.6304336988
1522628357358,chicago/traffic-lane/557/thing/traffic-lane/1522628357358,,thing/traffic-lane,,27,-1,chicago/traffic-lane/557,-87.6369249316,41.8529600788,41.852819781,-87.646459951
1522628354732,chicago/traffic-lane/470/thing/traffic-lane/1522628354732,,thing/traffic-lane,,27,-1,chicago/traffic-lane/470,-87.6045012673,41.7222259181,41.7220217125,-87.6140911627
1522628355059,chicago/traffic-lane/471/thing/traffic-lane/1522628355059,,thing/traffic-lane,,37,-1,chicago/traffic-lane/471,-87.594731404,41.7222769494,41.7222259181,-87.6045012673
1522628355407,chicago/traffic-lane/628/thing/traffic-lane/1522628355407,,thing/traffic-lane,,20,-1,chicago/traffic-lane/628,-87.7468692152,41.9461190053,41.9534197462,-87.7471183356
